,lower Beras,upper Beras
2024-01-01,10905.762589289894,11673.238970853206
2024-02-01,10951.584724902188,11941.31285132584
2024-03-01,10990.197494117105,12129.456032088516
2024-04-01,11002.173058300103,12329.199912135873
2024-05-01,11030.2945232236,12566.23457332406
2024-06-01,11507.224933855709,13191.701730711899
2024-07-01,10496.131875357323,12277.298205038254
2024-08-01,10366.658076806885,12625.657461093633
2024-09-01,10128.092808401158,12768.341405662944
2024-10-01,10150.444006053849,13094.114970431308
2024-11-01,10330.766781175691,13550.085889644452
2024-12-01,10331.74018405507,13828.654798899057
2025-01-01,10552.592412457194,14312.938799525102
2025-02-01,9408.587516981434,13396.950675409445
2025-03-01,9434.226956717872,13925.070766071169
2025-04-01,9295.854607424342,14196.695651499056
2025-05-01,9160.512974111149,14433.103477353343
2025-06-01,9143.02126523803,14794.95225968363
2025-07-01,9169.93319415855,15192.458434828937
2025-08-01,9519.753332487653,15868.026938138446
2025-09-01,8324.551833732405,14963.639119139154
2025-10-01,8168.490814582387,15358.457811046494
2025-11-01,7962.002548614414,15639.800286922695
2025-12-01,7937.084328771009,16045.999682536974
